"datetimeAK","Site","inst_rainfall_mm","year","Day_window","Week_window","Month_window"
2015-04-17,"Eielson",0,"2015",NA,NA,NA
2015-04-17 00:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 00:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 00:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 01:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 01:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 01:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 01:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 02:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 02:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 02:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 02:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 03:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 03:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 03:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 03:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 04:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 04:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 04:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 04:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 05:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 05:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 05:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 05:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 06:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 06:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 06:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 06:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 07:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 07:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 07:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 07:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 08:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 08:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 08:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 08:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 09:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 09:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 09:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 09:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 10:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 10:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 10:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 10:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 11:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 11:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 11:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 11:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 12:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 12:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 12:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 12:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 13:00:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 13:15:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 13:30:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 13:45:00,"Eielson",0,"2015",NA,NA,NA
2015-04-17 14:00:00,"Eielson",0,"2015",NA,NA,NA
